Iteration: 1, 
No. of Clusters: 25, Density: 0.4214866, Entropy: 3.366319, Fmeasure: 0.09208391
UID	ClusterID
1	c1
34	c1
35	c1
40	c1
46	c1
50	c1
69	c1
94	c1
95	c1
96	c1
100	c1
102	c1
103	c1
116	c1
130	c1
132	c1
133	c1
139	c1
146	c1
151	c1
153	c1
154	c1
157	c1
158	c1
160	c1
161	c1
164	c1
166	c1
170	c1
171	c1
178	c1
179	c1
182	c1
188	c1
192	c1
193	c1
195	c1
198	c1
201	c1
204	c1
206	c1
209	c1
214	c1
215	c1
216	c1
231	c1
232	c1
233	c1
234	c1
237	c1
240	c1
244	c1
245	c1
246	c1
251	c1
252	c1
258	c1
259	c1
260	c1
263	c1
279	c1
281	c1
288	c1
289	c1
292	c1
296	c1
300	c1
306	c1
308	c1
311	c1
312	c1
313	c1
317	c1
318	c1
322	c1
323	c1
325	c1
330	c1
333	c1
334	c1
339	c1
340	c1
341	c1
345	c1
346	c1
347	c1
349	c1
351	c1
353	c1
358	c1
360	c1
362	c1
363	c1
365	c1
367	c1
368	c1
369	c1
371	c1
373	c1
376	c1
377	c1
378	c1
379	c1
382	c1
383	c1
386	c1
390	c1
391	c1
393	c1
397	c1
398	c1
400	c1
402	c1
407	c1
410	c1
411	c1
412	c1
413	c1
415	c1
422	c1
423	c1
426	c1
430	c1
432	c1
433	c1
434	c1
435	c1
438	c1
439	c1
440	c1
444	c1
445	c1
447	c1
448	c1
449	c1
452	c1
455	c1
456	c1
458	c1
459	c1
460	c1
461	c1
462	c1
463	c1
464	c1
468	c1
470	c1
475	c1
476	c1
477	c1
478	c1
479	c1
480	c1
482	c1
483	c1
484	c1
485	c1
488	c1
489	c1
491	c1
492	c1
494	c1
499	c1
502	c1
504	c1
506	c1
508	c1
509	c1
510	c1
511	c1
512	c1
513	c1
514	c1
521	c1
522	c1
523	c1
524	c1
525	c1
526	c1
527	c1
529	c1
532	c1
535	c1
536	c1
537	c1
538	c1
540	c1
548	c1
549	c1
552	c1
557	c1
560	c1
562	c1
567	c1
568	c1
571	c1
573	c1
575	c1
576	c1
577	c1
580	c1
583	c1
584	c1
585	c1
586	c1
588	c1
589	c1
590	c1
591	c1
593	c1
594	c1
597	c1
600	c1
601	c1
602	c1
606	c1
609	c1
610	c1
