Iteration: 1, 
No. of Clusters: 15, Density: 0.31235418, Entropy: 0.4794036, Fmeasure: 0.41370437
UID	ClusterID
3	c1
4	c1
6	c1
7	c1
11	c1
12	c1
17	c1
19	c1
25	c1
26	c1
30	c1
37	c1
43	c1
44	c1
48	c1
49	c1
50	c1
51	c1
52	c1
54	c1
57	c1
59	c1
60	c1
61	c1
62	c1
63	c1
66	c1
69	c1
71	c1
74	c1
76	c1
77	c1
83	c1
86	c1
88	c1
91	c1
94	c1
104	c1
105	c1
106	c1
108	c1
111	c1
112	c1
116	c1
120	c1
122	c1
126	c1
128	c1
129	c1
131	c1
133	c1
134	c1
135	c1
139	c1
146	c1
148	c1
152	c1
153	c1
155	c1
158	c1
160	c1
161	c1
164	c1
166	c1
169	c1
170	c1
171	c1
173	c1
174	c1
175	c1
176	c1
182	c1
183	c1
184	c1
188	c1
195	c1
196	c1
197	c1
198	c1
199	c1
201	c1
203	c1
206	c1
208	c1
212	c1
213	c1
214	c1
215	c1
216	c1
220	c1
221	c1
225	c1
226	c1
228	c1
230	c1
231	c1
232	c1
234	c1
235	c1
236	c1
237	c1
240	c1
242	c1
247	c1
251	c1
252	c1
254	c1
255	c1
258	c1
260	c1
261	c1
263	c1
265	c1
266	c1
269	c1
270	c1
271	c1
272	c1
280	c1
284	c1
285	c1
286	c1
287	c1
291	c1
294	c1
300	c1
302	c1
303	c1
304	c1
306	c1
307	c1
308	c1
314	c1
319	c1
320	c1
321	c1
322	c1
324	c1
325	c1
327	c1
329	c1
330	c1
331	c1
333	c1
334	c1
336	c1
337	c1
338	c1
339	c1
342	c1
343	c1
346	c1
348	c1
354	c1
356	c1
359	c1
364	c1
366	c1
369	c1
370	c1
372	c1
373	c1
375	c1
376	c1
380	c1
382	c1
386	c1
388	c1
392	c1
395	c1
397	c1
398	c1
400	c1
403	c1
407	c1
408	c1
411	c1
412	c1
413	c1
414	c1
415	c1
419	c1
420	c1
421	c1
422	c1
423	c1
425	c1
430	c1
433	c1
435	c1
437	c1
445	c1
447	c1
448	c1
450	c1
455	c1
456	c1
457	c1
458	c1
459	c1
462	c1
463	c1
464	c1
471	c1
473	c1
474	c1
476	c1
478	c1
482	c1
485	c1
486	c1
487	c1
488	c1
491	c1
497	c1
502	c1
504	c1
506	c1
509	c1
510	c1
513	c1
516	c1
518	c1
519	c1
520	c1
522	c1
523	c1
525	c1
526	c1
528	c1
529	c1
531	c1
533	c1
534	c1
542	c1
543	c1
545	c1
546	c1
552	c1
553	c1
554	c1
557	c1
558	c1
565	c1
569	c1
571	c1
576	c1
580	c1
581	c1
582	c1
583	c1
586	c1
592	c1
593	c1
594	c1
595	c1
597	c1
599	c1
601	c1
606	c1
607	c1
608	c1
611	c1
616	c1
624	c1
627	c1
628	c1
629	c1
630	c1
632	c1
633	c1
636	c1
638	c1
639	c1
643	c1
645	c1
651	c1
654	c1
655	c1
656	c1
658	c1
663	c1
665	c1
666	c1
668	c1
670	c1
672	c1
673	c1
674	c1
678	c1
682	c1
686	c1
689	c1
690	c1
692	c1
695	c1
696	c1
697	c1
698	c1
700	c1
701	c1
704	c1
705	c1
706	c1
707	c1
709	c1
710	c1
713	c1
716	c1
717	c1
718	c1
719	c1
722	c1
723	c1
724	c1
728	c1
732	c1
733	c1
734	c1
738	c1
740	c1
742	c1
744	c1
745	c1
746	c1
748	c1
749	c1
750	c1
751	c1
752	c1
753	c1
757	c1
758	c1
759	c1
761	c1
769	c1
770	c1
774	c1
776	c1
780	c1
783	c1
785	c1
789	c1
794	c1
795	c1
797	c1
799	c1
800	c1
804	c1
820	c1
821	c1
832	c1
834	c1
844	c1
845	c1
846	c1
848	c1
850	c1
853	c1
863	c1
866	c1
867	c1
868	c1
877	c1
884	c1
888	c1
890	c1
902	c1
905	c1
906	c1
910	c1
912	c1
917	c1
920	c1
923	c1
924	c1
926	c1
928	c1
929	c1
939	c1
948	c1
951	c1
957	c1
958	c1
969	c1
976	c1
978	c1
984	c1
985	c1
986	c1
987	c1
997	c1
999	c1
1002	c1
1005	c1
1011	c1
1012	c1
1014	c1
1016	c1
1017	c1
1018	c1
1019	c1
1022	c1
1025	c1
1027	c1
1030	c1
1032	c1
1033	c1
1035	c1
1039	c1
1043	c1
1046	c1
1050	c1
1056	c1
1059	c1
1066	c1
1073	c1
1075	c1
1078	c1
1079	c1
1089	c1
1094	c1
1098	c1
1102	c1
1107	c1
1110	c1
1111	c1
1118	c1
1120	c1
1132	c1
1136	c1
1137	c1
1138	c1
1142	c1
1143	c1
1147	c1
1151	c1
1155	c1
1157	c1
1160	c1
1173	c1
1174	c1
1178	c1
1181	c1
1182	c1
1183	c1
1188	c1
1193	c1
1203	c1
1204	c1
1208	c1
1213	c1
1228	c1
1229	c1
1230	c1
1233	c1
1235	c1
1241	c1
1243	c1
1247	c1
1248	c1
1259	c1
1260	c1
1265	c1
1267	c1
1272	c1
1279	c1
1281	c1
1283	c1
1284	c1
1285	c1
1289	c1
1291	c1
1292	c1
1294	c1
1297	c1
1299	c1
1302	c1
1304	c1
1305	c1
1307	c1
1311	c1
1312	c1
1314	c1
1316	c1
1324	c1
1327	c1
1331	c1
1336	c1
1340	c1
1341	c1
1343	c1
