Iteration: 1, 
No. of Clusters: 50, Density: 0.34316054, Entropy: 2.949564, Fmeasure: 0.11756507
UID	ClusterID
9	c1
10	c1
31	c1
37	c1
38	c1
45	c1
46	c1
52	c1
54	c1
64	c1
73	c1
75	c1
76	c1
79	c1
93	c1
97	c1
129	c1
137	c1
161	c1
163	c1
185	c1
203	c1
222	c1
230	c1
238	c1
249	c1
257	c1
269	c1
276	c1
283	c1
285	c1
294	c1
309	c1
314	c1
325	c1
343	c1
356	c1
374	c1
381	c1
385	c1
404	c1
421	c1
439	c1
479	c1
491	c1
492	c1
525	c1
542	c1
580	c1
582	c1
588	c1
589	c1
595	c1
618	c1
630	c1
677	c1
689	c1
705	c1
721	c1
736	c1
744	c1
777	c1
819	c1
822	c1
824	c1
842	c1
899	c1
908	c1
926	c1
937	c1
953	c1
959	c1
1004	c1
1040	c1
1048	c1
1060	c1
1099	c1
1120	c1
1125	c1
1145	c1
1146	c1
1186	c1
1247	c1
1268	c1
1270	c1
1359	c1
1406	c1
1423	c1
1443	c1
1475	c1
1542	c1
1552	c1
1610	c1
1715	c1
1793	c1
1835	c1
1901	c1
1908	c1
1968	c1
2041	c1
2102	c1
2109	c1
2118	c1
2123	c1
2276	c1
2295	c1
2359	c1
2441	c1
2512	c1
2616	c1
2650	c1
2766	c1
2857	c1
2867	c1
2937	c1
2950	c1
2964	c1
2970	c1
3026	c1
3078	c1
3122	c1
3197	c1
3384	c1
3471	c1
3477	c1
3587	c1
3653	c1
4248	c1
4255	c1
4259	c1
4268	c1
4272	c1
4290	c1
4300	c1
4348	c1
4371	c1
4858	c1
4881	c1
2	c2
5	c2
8	c2
11	c2
16	c2
18	c2
20	c2
21	c2
24	c2
27	c2
28	c2
32	c2
39	c2
47	c2
48	c2
49	c2
51	c2
53	c2
59	c2
60	c2
61	c2
63	c2
67	c2
70	c2
78	c2
82	c2
88	c2
91	c2
96	c2
99	c2
105	c2
109	c2
111	c2
112	c2
114	c2
115	c2
117	c2
118	c2
120	c2
125	c2
127	c2
128	c2
131	c2
142	c2
147	c2
149	c2
162	c2
169	c2
173	c2
186	c2
187	c2
194	c2
199	c2
212	c2
219	c2
221	c2
223	c2
225	c2
241	c2
242	c2
262	c2
264	c2
266	c2
271	c2
274	c2
280	c2
297	c2
305	c2
310	c2
318	c2
319	c2
324	c2
326	c2
329	c2
330	c2
331	c2
332	c2
337	c2
339	c2
344	c2
352	c2
354	c2
364	c2
370	c2
384	c2
389	c2
402	c2
413	c2
423	c2
425	c2
429	c2
446	c2
448	c2
458	c2
461	c2
469	c2
481	c2
499	c2
501	c2
503	c2
507	c2
515	c2
516	c2
528	c2
530	c2
534	c2
537	c2
543	c2
547	c2
553	c2
563	c2
566	c2
578	c2
579	c2
597	c2
608	c2
614	c2
638	c2
652	c2
654	c2
673	c2
678	c2
696	c2
710	c2
726	c2
730	c2
742	c2
763	c2
770	c2
774	c2
778	c2
779	c2
811	c2
821	c2
823	c2
825	c2
826	c2
832	c2
858	c2
859	c2
881	c2
888	c2
902	c2
917	c2
920	c2
921	c2
968	c2
974	c2
979	c2
986	c2
994	c2
1010	c2
1011	c2
1021	c2
1074	c2
1095	c2
1113	c2
1123	c2
1137	c2
1156	c2
1173	c2
1180	c2
1184	c2
1185	c2
1189	c2
1192	c2
1195	c2
1197	c2
1203	c2
1245	c2
1246	c2
1269	c2
1276	c2
1289	c2
1291	c2
1302	c2
1326	c2
1368	c2
1375	c2
1378	c2
1387	c2
1405	c2
1407	c2
1409	c2
1417	c2
1421	c2
1437	c2
1452	c2
1485	c2
1493	c2
1526	c2
1535	c2
1562	c2
1579	c2
1584	c2
1606	c2
1634	c2
1705	c2
1716	c2
1756	c2
1803	c2
1856	c2
1913	c2
1941	c2
1955	c2
1958	c2
1973	c2
1975	c2
1980	c2
1986	c2
1998	c2
1999	c2
2007	c2
2043	c2
2060	c2
2103	c2
2126	c2
2131	c2
2151	c2
2184	c2
2196	c2
2261	c2
2312	c2
2315	c2
2332	c2
2335	c2
2347	c2
2356	c2
2358	c2
2379	c2
2388	c2
2433	c2
2448	c2
2474	c2
2486	c2
2509	c2
2538	c2
2559	c2
2672	c2
2722	c2
2735	c2
2744	c2
2759	c2
2805	c2
2822	c2
2830	c2
2850	c2
2860	c2
2866	c2
2879	c2
2891	c2
2907	c2
2914	c2
2927	c2
2929	c2
2931	c2
2932	c2
2943	c2
2944	c2
2961	c2
2963	c2
3012	c2
3072	c2
3086	c2
3088	c2
3096	c2
3104	c2
3128	c2
3140	c2
3211	c2
3225	c2
3269	c2
3276	c2
3284	c2
3318	c2
3321	c2
3340	c2
3372	c2
3410	c2
3441	c2
3460	c2
3462	c2
3473	c2
3517	c2
3558	c2
3620	c2
3634	c2
3772	c2
3865	c2
3912	c2
3960	c2
3962	c2
4012	c2
4022	c2
4046	c2
4050	c2
4140	c2
4189	c2
4243	c2
4251	c2
4263	c2
4275	c2
4505	c2
4520	c2
4562	c2
4573	c2
4611	c2
4626	c2
4670	c2
4672	c2
574	c3
679	c3
709	c3
813	c3
837	c3
853	c3
872	c3
879	c3
891	c3
909	c3
927	c3
1111	c3
1116	c3
1201	c3
1249	c3
1259	c3
1282	c3
1343	c3
1389	c3
1418	c3
1451	c3
1508	c3
1532	c3
1534	c3
1571	c3
1625	c3
1632	c3
1661	c3
1686	c3
1727	c3
1729	c3
1752	c3
1792	c3
1894	c3
1920	c3
1932	c3
1962	c3
1972	c3
1977	c3
1988	c3
2020	c3
2023	c3
2038	c3
2050	c3
2055	c3
2076	c3
2078	c3
2101	c3
2117	c3
2121	c3
2132	c3
2215	c3
2234	c3
2285	c3
2289	c3
2297	c3
2340	c3
2341	c3
2355	c3
2396	c3
2410	c3
2422	c3
2439	c3
2444	c3
2449	c3
2467	c3
2471	c3
2493	c3
2494	c3
2501	c3
2527	c3
2534	c3
2540	c3
2542	c3
2552	c3
2571	c3
2578	c3
2580	c3
2604	c3
2613	c3
2614	c3
2615	c3
2624	c3
2628	c3
2641	c3
2679	c3
2681	c3
2684	c3
2694	c3
2704	c3
2716	c3
2728	c3
2745	c3
2757	c3
2758	c3
2765	c3
2769	c3
2771	c3
2794	c3
2802	c3
2819	c3
2828	c3
2844	c3
2887	c3
2902	c3
2912	c3
2913	c3
2923	c3
2958	c3
2967	c3
2979	c3
2983	c3
2984	c3
2993	c3
2998	c3
3006	c3
3019	c3
3056	c3
3057	c3
3060	c3
3079	c3
3095	c3
3133	c3
3164	c3
3170	c3
3191	c3
3195	c3
3234	c3
3258	c3
3273	c3
3297	c3
3328	c3
3329	c3
3337	c3
3352	c3
3385	c3
3395	c3
3397	c3
3403	c3
3422	c3
3434	c3
3475	c3
3478	c3
3484	c3
3486	c3
3489	c3
3508	c3
3515	c3
3538	c3
3579	c3
3588	c3
3603	c3
3630	c3
3643	c3
3645	c3
3663	c3
3664	c3
3668	c3
3669	c3
3683	c3
3693	c3
3701	c3
3702	c3
3738	c3
3748	c3
3756	c3
3760	c3
3773	c3
3788	c3
3789	c3
3806	c3
3807	c3
3808	c3
3826	c3
3847	c3
3862	c3
3869	c3
3892	c3
3895	c3
3897	c3
3900	c3
3905	c3
3916	c3
3926	c3
3932	c3
3947	c3
3950	c3
3956	c3
3966	c3
3970	c3
3976	c3
3978	c3
4018	c3
4040	c3
4044	c3
4062	c3
4064	c3
4084	c3
4087	c3
4091	c3
4104	c3
4115	c3
4125	c3
4146	c3
4161	c3
4170	c3
4175	c3
4180	c3
4181	c3
4193	c3
4195	c3
4200	c3
4213	c3
4226	c3
4241	c3
4256	c3
4317	c3
4332	c3
4334	c3
4336	c3
4340	c3
4343	c3
4350	c3
4353	c3
4358	c3
4364	c3
4374	c3
4382	c3
4395	c3
4399	c3
4405	c3
4415	c3
4416	c3
4421	c3
4428	c3
4430	c3
4454	c3
4458	c3
4470	c3
4474	c3
4486	c3
4487	c3
4488	c3
4526	c3
4548	c3
4567	c3
4574	c3
4578	c3
4583	c3
4586	c3
4587	c3
4598	c3
4608	c3
4609	c3
4610	c3
4621	c3
4631	c3
4638	c3
4639	c3
4645	c3
4668	c3
4671	c3
4678	c3
4680	c3
4693	c3
4696	c3
4720	c3
4727	c3
4746	c3
4749	c3
4758	c3
4785	c3
4791	c3
4802	c3
4805	c3
4807	c3
4808	c3
4817	c3
4822	c3
4827	c3
4840	c3
4853	c3
4873	c3
4878	c3
4880	c3
4884	c3
4890	c3
4904	c3
4909	c3
4916	c3
4927	c3
4928	c3
4942	c3
4963	c3
4973	c3
4979	c3
4980	c3
4981	c3
1013	c4
1848	c4
1889	c4
3055	c4
3342	c4
4110	c4
4936	c4
1595	c5
1933	c5
2412	c5
2455	c5
2905	c5
3327	c5
3451	c5
3454	c5
3482	c5
3710	c5
3797	c5
3834	c5
4215	c5
4359	c5
4597	c5
4728	c5
85	c6
94	c6
216	c6
260	c6
358	c6
383	c6
411	c6
414	c6
476	c6
620	c6
903	c6
983	c6
1149	c6
1346	c6
1704	c6
1794	c6
2031	c6
2154	c6
2778	c6
3546	c6
4385	c6
256	c7
399	c7
440	c7
1033	c7
1106	c7
1118	c7
1226	c7
1285	c7
1416	c7
1431	c7
1589	c7
1844	c7
2061	c7
2238	c7
2329	c7
2411	c7
2563	c7
2881	c7
3914	c7
4029	c7
4432	c7
104	c8
153	c8
251	c8
259	c8
369	c8
391	c8
392	c8
438	c8
467	c8
488	c8
500	c8
524	c8
554	c8
607	c8
626	c8
641	c8
657	c8
764	c8
785	c8
915	c8
949	c8
1043	c8
1047	c8
1085	c8
1097	c8
1224	c8
1313	c8
1448	c8
1462	c8
1576	c8
1667	c8
1733	c8
1978	c8
2065	c8
2071	c8
2153	c8
2664	c8
3559	c8
3660	c8
3844	c8
3988	c8
4216	c8
4499	c8
4674	c8
4755	c8
4893	c8
4954	c8
4977	c8
150	c9
172	c9
229	c9
296	c9
320	c9
401	c9
442	c9
443	c9
594	c9
599	c9
629	c9
739	c9
874	c9
971	c9
1054	c9
1266	c9
1316	c9
1616	c9
1621	c9
1666	c9
1675	c9
2257	c9
2403	c9
2511	c9
2847	c9
3101	c9
3226	c9
3263	c9
3313	c9
4182	c9
4234	c9
4406	c9
4602	c9
4712	c9
4726	c9
4801	c9
135	c10
281	c10
360	c10
603	c10
613	c10
623	c10
671	c10
892	c10
1019	c10
1210	c10
1213	c10
1230	c10
1333	c10
1341	c10
2058	c10
2082	c10
2089	c10
2177	c10
2181	c10
2291	c10
2477	c10
2536	c10
2588	c10
3148	c10
3554	c10
3754	c10
3768	c10
3780	c10
4060	c10
4669	c10
4985	c10
116	c11
123	c11
155	c11
180	c11
301	c11
490	c11
529	c11
531	c11
596	c11
692	c11
904	c11
944	c11
1273	c11
1432	c11
1611	c11
1636	c11
1642	c11
2423	c11
3066	c11
3151	c11
3316	c11
3953	c11
3	c12
12	c12
92	c12
160	c12
171	c12
177	c12
202	c12
205	c12
248	c12
273	c12
308	c12
335	c12
348	c12
379	c12
408	c12
422	c12
441	c12
445	c12
454	c12
485	c12
495	c12
497	c12
508	c12
569	c12
583	c12
606	c12
628	c12
644	c12
649	c12
660	c12
704	c12
805	c12
833	c12
997	c12
1046	c12
1050	c12
1055	c12
1121	c12
1167	c12
1253	c12
1279	c12
1386	c12
1817	c12
1982	c12
2052	c12
2186	c12
2349	c12
2453	c12
2659	c12
3618	c12
4074	c12
81	c13
103	c13
119	c13
376	c13
378	c13
433	c13
745	c13
1658	c13
1779	c13
2823	c13
3582	c13
3890	c13
1598	c14
2417	c14
3288	c14
3501	c14
3942	c14
4045	c14
4675	c14
4847	c14
4896	c14
66	c15
292	c15
457	c15
511	c15
734	c15
769	c15
943	c15
952	c15
1023	c15
1101	c15
1349	c15
1497	c15
1615	c15
1730	c15
2130	c15
3553	c15
4186	c15
388	c16
456	c16
459	c16
464	c16
636	c16
672	c16
767	c16
786	c16
829	c16
1139	c16
1220	c16
1960	c16
2926	c16
3791	c16
110	c17
138	c17
236	c17
255	c17
333	c17
361	c17
465	c17
486	c17
533	c17
758	c17
875	c17
933	c17
1014	c17
1058	c17
1136	c17
1171	c17
1295	c17
1309	c17
1390	c17
1392	c17
1408	c17
1586	c17
1626	c17
1759	c17
1882	c17
1914	c17
1959	c17
2648	c17
2821	c17
3167	c17
4026	c17
4589	c17
4595	c17
4	c18
6	c18
7	c18
13	c18
15	c18
17	c18
22	c18
33	c18
36	c18
41	c18
42	c18
43	c18
44	c18
55	c18
56	c18
58	c18
68	c18
71	c18
72	c18
74	c18
77	c18
84	c18
86	c18
90	c18
107	c18
108	c18
113	c18
121	c18
136	c18
151	c18
158	c18
165	c18
167	c18
168	c18
176	c18
189	c18
191	c18
200	c18
210	c18
220	c18
224	c18
239	c18
243	c18
245	c18
267	c18
268	c18
270	c18
275	c18
278	c18
287	c18
291	c18
295	c18
298	c18
299	c18
327	c18
347	c18
353	c18
357	c18
359	c18
368	c18
372	c18
380	c18
386	c18
403	c18
406	c18
418	c18
424	c18
450	c18
472	c18
474	c18
504	c18
514	c18
544	c18
556	c18
557	c18
560	c18
564	c18
565	c18
570	c18
576	c18
585	c18
587	c18
598	c18
600	c18
604	c18
605	c18
617	c18
622	c18
637	c18
647	c18
651	c18
682	c18
687	c18
688	c18
697	c18
699	c18
703	c18
712	c18
727	c18
731	c18
747	c18
783	c18
792	c18
793	c18
796	c18
804	c18
807	c18
836	c18
839	c18
862	c18
876	c18
886	c18
887	c18
900	c18
912	c18
961	c18
970	c18
975	c18
989	c18
995	c18
1002	c18
1007	c18
1012	c18
1056	c18
1087	c18
1089	c18
1102	c18
1141	c18
1165	c18
1221	c18
1222	c18
1233	c18
1255	c18
1256	c18
1315	c18
1317	c18
1319	c18
1335	c18
1358	c18
1373	c18
1382	c18
1401	c18
1413	c18
1434	c18
1474	c18
1487	c18
1494	c18
1533	c18
1541	c18
1556	c18
1575	c18
1617	c18
1628	c18
1635	c18
1651	c18
1669	c18
1672	c18
1680	c18
1692	c18
1694	c18
1722	c18
1728	c18
1768	c18
1789	c18
1809	c18
1839	c18
1851	c18
1884	c18
1888	c18
1896	c18
1967	c18
1979	c18
1989	c18
1990	c18
2010	c18
2022	c18
2059	c18
2135	c18
2145	c18
2173	c18
2346	c18
2368	c18
2375	c18
2380	c18
2392	c18
2425	c18
2454	c18
