Iteration: 1, 
No. of Clusters: 110, Density: 0.29918805, Entropy: 2.5150228, Fmeasure: 0.22464405
UID	ClusterID
35	c1
201	c1
244	c1
396	c1
453	c1
580	c1
602	c1
618	c1
623	c1
630	c1
683	c1
693	c1
702	c1
744	c1
765	c1
908	c1
999	c1
1019	c1
1134	c1
1247	c1
1341	c1
1715	c1
1767	c1
1945	c1
2018	c1
2439	c1
2477	c1
2488	c1
2536	c1
2930	c1
3144	c1
3705	c1
3736	c1
4123	c1
4586	c1
4587	c1
451	c2
542	c2
600	c2
639	c2
964	c2
1130	c2
1255	c2
1375	c2
2525	c2
5	c3
11	c3
47	c3
120	c3
296	c3
403	c3
481	c3
543	c3
585	c3
674	c3
863	c3
879	c3
923	c3
974	c3
1041	c3
1111	c3
1116	c3
1123	c3
1210	c3
1230	c3
1249	c3
1259	c3
1282	c3
1289	c3
1382	c3
1389	c3
1417	c3
1418	c3
1423	c3
1458	c3
1508	c3
1532	c3
1534	c3
1565	c3
1625	c3
1632	c3
1683	c3
1700	c3
1729	c3
1752	c3
1820	c3
1920	c3
1962	c3
1967	c3
1972	c3
1988	c3
2025	c3
2038	c3
2050	c3
2058	c3
2078	c3
2089	c3
2121	c3
2131	c3
2132	c3
2177	c3
2206	c3
2215	c3
2218	c3
2234	c3
2289	c3
2335	c3
2355	c3
2401	c3
2412	c3
2422	c3
2455	c3
2472	c3
2479	c3
2493	c3
2495	c3
2501	c3
2505	c3
2516	c3
2542	c3
2548	c3
2578	c3
2580	c3
2607	c3
2624	c3
2628	c3
2679	c3
2681	c3
2704	c3
2716	c3
2745	c3
2757	c3
2771	c3
2813	c3
2819	c3
2828	c3
2875	c3
2887	c3
2905	c3
2912	c3
2913	c3
2923	c3
2958	c3
2967	c3
2983	c3
2998	c3
3057	c3
3060	c3
3095	c3
3164	c3
3170	c3
3191	c3
3193	c3
3195	c3
3234	c3
3258	c3
3315	c3
3327	c3
3328	c3
3340	c3
3378	c3
3385	c3
3390	c3
3397	c3
3451	c3
3454	c3
