Iteration: 1, 
No. of Clusters: 17, Density: 0.49314985, Entropy: 0.0040653055, Fmeasure: 0.7984457
UID	ClusterID
3	c1
4	c1
5	c1
6	c1
11	c1
25	c1
30	c1
34	c1
48	c1
49	c1
50	c1
51	c1
54	c1
57	c1
60	c1
61	c1
63	c1
71	c1
74	c1
88	c1
91	c1
93	c1
94	c1
104	c1
108	c1
111	c1
112	c1
120	c1
122	c1
124	c1
126	c1
128	c1
131	c1
134	c1
135	c1
139	c1
146	c1
148	c1
153	c1
161	c1
164	c1
169	c1
171	c1
173	c1
174	c1
176	c1
182	c1
183	c1
184	c1
195	c1
196	c1
197	c1
199	c1
202	c1
203	c1
206	c1
213	c1
214	c1
216	c1
221	c1
225	c1
226	c1
228	c1
229	c1
230	c1
231	c1
232	c1
234	c1
236	c1
240	c1
241	c1
242	c1
247	c1
251	c1
254	c1
258	c1
260	c1
261	c1
263	c1
265	c1
266	c1
270	c1
271	c1
276	c1
284	c1
285	c1
286	c1
292	c1
294	c1
302	c1
304	c1
306	c1
311	c1
319	c1
320	c1
322	c1
324	c1
325	c1
326	c1
327	c1
330	c1
334	c1
336	c1
339	c1
342	c1
343	c1
346	c1
348	c1
358	c1
359	c1
366	c1
369	c1
372	c1
375	c1
376	c1
386	c1
387	c1
392	c1
395	c1
398	c1
407	c1
408	c1
412	c1
413	c1
414	c1
423	c1
425	c1
430	c1
433	c1
434	c1
435	c1
447	c1
450	c1
455	c1
456	c1
457	c1
458	c1
459	c1
463	c1
464	c1
473	c1
474	c1
476	c1
478	c1
482	c1
485	c1
486	c1
496	c1
509	c1
510	c1
511	c1
514	c1
520	c1
522	c1
523	c1
524	c1
526	c1
528	c1
529	c1
530	c1
531	c1
533	c1
545	c1
546	c1
552	c1
557	c1
558	c1
565	c1
569	c1
571	c1
576	c1
581	c1
582	c1
584	c1
586	c1
592	c1
593	c1
594	c1
599	c1
604	c1
606	c1
607	c1
608	c1
611	c1
612	c1
624	c1
627	c1
629	c1
630	c1
632	c1
633	c1
636	c1
638	c1
639	c1
651	c1
656	c1
658	c1
659	c1
663	c1
665	c1
666	c1
672	c1
673	c1
674	c1
678	c1
688	c1
692	c1
695	c1
696	c1
697	c1
698	c1
706	c1
707	c1
709	c1
710	c1
719	c1
720	c1
723	c1
724	c1
728	c1
733	c1
734	c1
735	c1
737	c1
738	c1
742	c1
744	c1
746	c1
748	c1
750	c1
751	c1
752	c1
753	c1
758	c1
759	c2
769	c2
770	c2
783	c2
789	c2
795	c2
832	c2
844	c2
845	c2
853	c2
866	c2
867	c2
877	c2
902	c2
905	c2
906	c2
917	c2
923	c2
924	c2
928	c2
948	c2
957	c2
969	c2
976	c2
985	c2
986	c2
997	c2
999	c2
1002	c2
1011	c2
1012	c2
1016	c2
1022	c2
1027	c2
1032	c2
1033	c2
1035	c2
1039	c2
1043	c2
1050	c2
1056	c2
1059	c2
1066	c2
1073	c2
1094	c2
1098	c2
1107	c2
1110	c2
1111	c2
1118	c2
1120	c2
1132	c2
1137	c2
1142	c2
1143	c2
1147	c2
1151	c2
1173	c2
1174	c2
1178	c2
1181	c2
1228	c2
1230	c2
1235	c2
1241	c2
1243	c2
1248	c2
1272	c2
1283	c2
1284	c2
1285	c2
1292	c2
1294	c2
1299	c2
1311	c2
1312	c2
1324	c2
1327	c2
1347	c2
1358	c2
1363	c2
1370	c2
1376	c2
1386	c2
1400	c2
1424	c2
1443	c2
1452	c2
1453	c2
1462	c2
1464	c2
1465	c2
1480	c2
1483	c2
760	c3
761	c3
763	c3
766	c3
767	c3
768	c3
771	c3
772	c3
774	c3
775	c3
776	c3
777	c3
778	c3
779	c3
780	c3
781	c3
784	c3
786	c3
787	c3
790	c3
791	c3
792	c3
793	c3
794	c3
796	c3
797	c3
799	c3
800	c3
801	c3
802	c3
803	c3
804	c3
806	c3
807	c3
808	c3
809	c3
811	c3
812	c3
813	c3
814	c3
815	c3
816	c3
817	c3
819	c3
820	c3
821	c3
823	c3
824	c3
825	c3
827	c3
828	c3
829	c3
830	c3
831	c3
833	c3
834	c3
835	c3
836	c3
837	c3
838	c3
839	c3
840	c3
841	c3
842	c3
843	c3
846	c3
847	c3
848	c3
849	c3
850	c3
851	c3
852	c3
854	c3
857	c3
858	c3
859	c3
860	c3
861	c3
863	c3
864	c3
865	c3
868	c3
869	c3
870	c3
871	c3
872	c3
873	c3
874	c3
875	c3
876	c3
879	c3
881	c3
882	c3
884	c3
886	c3
887	c3
888	c3
890	c3
891	c3
892	c3
893	c3
894	c3
895	c3
896	c3
897	c3
898	c3
899	c3
900	c3
901	c3
903	c3
904	c3
907	c3
908	c3
909	c3
910	c3
911	c3
912	c3
913	c3
914	c3
915	c3
916	c3
918	c3
920	c3
921	c3
925	c3
926	c3
927	c3
929	c3
930	c3
931	c3
932	c3
933	c3
934	c3
937	c3
938	c3
939	c3
940	c3
942	c3
943	c3
945	c3
946	c3
947	c3
949	c3
950	c3
951	c3
954	c3
955	c3
958	c3
959	c3
960	c3
962	c3
964	c3
965	c3
966	c3
968	c3
970	c3
972	c3
973	c3
974	c3
975	c3
977	c3
978	c3
979	c3
982	c3
983	c3
984	c3
987	c3
988	c3
989	c3
991	c3
